id	nev	nem	szuletett	elhunyt	identitas
1855	Helyes Zsuzsanna	n	1971		
1856	Erdey László	f	1910	1970	
1857	Varga Jenő	f	1879	1964	szovjetunióbeli magyar
1858	Kiss György	f	1953		
1859	Varga János	f	1941		
1860	Tokody László	f	1898	1964	
1861	Kutrzeba, Stanisław	f	1876	1946	lengyel
1862	Maehler, Herwig	f	1935		német
1863	Hollán Zsuzsa	n	1920	2008	
1864	Dénes Géza	f	1925	2009	
1865	Kiss Dezső	f	1929	2001	
1866	Wartha Vince	f	1844	1914	
1867	Tolnai Gábor	f	1910	1990	
1868	Ramón y Cajal, Santiago	f	1852	1934	spanyol
1869	Albert Réka	n	1972		amerikai-magyar
1870	Tinbergen, Jan	f	1903	1994	holland
1871	Kristó Gyula	f	1939	2004	
1872	Rapaics Rajmund	f	1885	1954	
1873	Eckhardt Sándor	f	1890	1969	
1874	Gránásy László	f	1955		
1875	Cotel Ernő	f	1879	1954	
1876	Farkas Gábor	f	1925	1986	
1877	Hyrtl József	f	1811	1894	ausztriai magyar
1878	Tagányi Károly	f	1858	1924	
1879	Nagy Éva	n	1951		kanadai magyar
1880	Klein Éva / Klein, Eva	n	1925		svédországi magyar
1881	Szöllősi János	f	1953		
1882	Mágócsy-Dietz Sándor	f	1855	1945	
1883	Csörgő Sándor	f	1947	2008	
1884	Gombos Imre	f	1791	1840	
1885	Petrov, Borisz Nyikolajevics	f	1913	1980	orosz
1886	Szkrjabin, Konsztantyin Ivanovics	f	1878	1972	orosz
1887	Köprülü, Mehmet Fuat	f	1890	1966	török
1888	Preysz Móric	f	1829	1877	
1889	Somfai László	f	1934		
1890	Jenkovszky László	f	1942		ukrajnai magyar
1891	Kisfaludy Károly	f	1788	1830	
1892	Faraday, Michael	f	1791	1867	angol
1893	Györffy István	f	1884	1939	
1894	Petzval Ottó	f	1809	1883	
1895	Salat-Zakariás Levente	f	1957		romániai magyar
1896	Herczeg Ferenc	f	1863	1954	
1897	Gimesi Nándor István	f	1892	1953	
1898	Lempert László	f	1952		amerikai-magyar
1899	Bell, Thomas	f	1792	1880	angol
1900	Schay Géza	f	1900	1991	
1901	Schwarz András Bertalan / Schwarz, Andreas Bertholan	f	1886	1953	németországi magyar
1902	Ballagi Géza	f	1851	1907	
1903	Lown, Bernard	f	1921		amerikai
1904	Prokesch-Osten, Anton von	f	1795	1876	osztrák
1905	Teleki Domokos	f	1810	1876	
1906	Békés Ferenc	f	1947		ausztráliai magyar
1907	Fest Vilmos	f	1815	1879	
1908	Békésy György	f	1899	1972	amerikai-magyar
1909	Szilágyi Ferenc	f	1797	1876	
1910	Milcu, Ştefan-Marius	f	1903	1997	román
1911	Pekár Dezső	f	1873	1953	
1912	Flaker, Aleksandar	f	1924	2010	horvát
1913	Darwin, George Howard	f	1845	1912	angol
1914	Preisich Gábor	f	1909	1998	
1915	Varga István	f	1897	1962	
1916	Changeux, Jean-Pierre	f	1936		francia
1917	Rónyai Lajos	f	1955		
1918	Laur, Ernst	f	1871	1965	svájci
1919	Ligeti Lajos	f	1902	1987	
1920	Baranyai Lipót	f	1894	1970	
1921	Mercati, Giovanni	f	1866	1957	olasz
1922	Szafer, Władysław	f	1886	1970	lengyel
1923	Szinnyei József	f	1830	1913	
1924	Frank Ignác	f	1788	1850	
1925	Vuorela, Lauri A.	f	1913	1999	finn
1926	Moravcsik Ernő Emil	f	1858	1924	
1927	Porpáczy Aladár	f	1903	1965	
1928	Ambrus Klára	n	1924	2011	amerikai-magyar
1929	Hóman Bálint	f	1885	1951	
1930	Oltay Károly	f	1881	1955	
1931	Lax Péter / Peter David Lax	f	1926		amerikai-magyar
1932	Wichmann, Yrjö	f	1868	1932	finn
1933	Hrapcsenko, Mihail Boriszovics	f	1904	1986	orosz
1934	Vries, Hugo de	f	1848	1935	holland
1935	Nendtvich Károly	f	1811	1892	
1936	Kovács Károly Pál	f	1907	1989	
1937	Papp Gyula	f	1937		
1938	Bowring, John	f	1792	1872	angol
1939	Horváth János	f	1924	2015	amerikai-magyar
1940	Halasi Kun Tibor	f	1914	1991	amerikai-magyar
1941	Kollányi Ferenc	f	1863	1933	
1942	Unger, Felix	f	1946		osztrák
1943	Quetelet, Adolphe	f	1796	1874	belga
1944	Konek Frigyes	f	1867	1945	
1945	Prohorov, Alekszandr Mihajlovics	f	1916	2002	orosz
1946	Szabó Imre	f	1814	1881	
1947	Marton Géza	f	1880	1957	
1948	Szlávy József	f	1818	1900	
1949	Sebestyén Gyula	f	1864	1946	
1950	Varga Lajos	f	1890	1963	
1951	Gutmann, Viktor	f	1921	1998	osztrák
1952	Edvi Illés Károly	f	1842	1919	
1953	Hegedűs István	f	1848	1925	
1954	Mauritz Béla	f	1881	1971	
1955	Pálinkás József	f	1952		
1956	Zeeman, Pieter	f	1865	1943	holland
1957	Végh István	f	1763	1834	
1958	Koch Antal	f	1843	1927	
1959	Bucsky Péter	f	1946		németországi magyar
1960	Simai Mihály	f	1930		
1961	Jordán Károly	f	1871	1959	
1962	Herschel, John Frederick William	f	1792	1871	angol
1963	Rawlinson, Henry Creswicke	f	1810	1895	angol
1964	Kiss Károly	f	1793	1866	
1965	Lomniczi Béla	f	1939		
1966	Széchy Ágoston	f	1778	1852	
1967	Zuntz, Nathan	f	1847	1920	német
1968	Corzan Avendano Gábor	f	1827	1903	
1969	Mihailich Győző	f	1877	1966	
1970	Pethő Attila	f	1950		
1971	Tomori Anasztáz	f	1824	1894	
1972	Toró Tibor	f	1931	2010	romániai magyar
1973	Knauz Nándor	f	1831	1898	
1974	Kéry László	f	1920	1992	
1975	Mezzofanti, Giuseppe Gasparo	f	1774	1849	olasz
1976	Zemplén Győző	f	1879	1916	
1977	Oro Giral, Luis Antonio	f	1945		spanyol
1978	Magyar Kálmán	f	1933	2017	
1979	Than Károly	f	1834	1908	
1980	Wesselényi Miklós	f	1796	1850	
1981	Kovács János	f	1764	1834	
1982	Pákh Albert	f	1823	1867	
1983	Oplatka András	f	1942		svájci magyar
1984	Vilkuna, Kustaa	f	1902	1980	finn
1985	Detre László	f	1906	1974	
1986	Hirschler Ignác	f	1823	1891	
1987	Buday Kálmán	f	1863	1937	
1988	Gladstone, William Ewart	f	1809	1898	brit
1989	Juhász-Nagy Pál	f	1935	1993	
1990	Staud Lajos	f	1855	1941	
1991	Kastler, Alfred	f	1902	1984	francia
1992	Flórián Károly	f	1944		szlovákiai magyar
1993	Lőrenthey Imre	f	1867	1917	
1994	Varjú Elemér	f	1873	1944	
1995	Györffy György	f	1917	2000	
1996	Solti László	f	1946		
1997	Széki Tibor	f	1879	1950	
1998	Ádám Veronika	n	1949		
1999	Szily Kálmán	f	1838	1924	
2000	Lubrich Ágost	f	1825	1900	
2001	Ostwald, Friedrich Wilhelm	f	1853	1932	német
2002	Almási Miklós	f	1932		
2003	Divald Adolf	f	1828	1891	
2004	Calice, Franz	f	1875	1935	osztrák
2005	Tigyi Gábor	f	1958		amerikai-magyar
2006	Dąbrowski, Jan Konstanty	f	1890	1965	lengyel
2007	Ruskoaho, Heikki	f	1952		finn
2008	Sörös Pongrác	f	1873	1919	
2009	Kálmán J. Gábor	f	1929		amerikai-magyar
2010	Gieysztor, Aleksander	f	1916	1999	lengyel
2011	Ötvös Ágoston	f	1811	1861	
2012	Révész Imre	f	1889	1967	
2013	Török Ádám	f	1952		
2014	Ramsay, William	f	1852	1916	skót
2015	Gneist, Rudolf von	f	1816	1895	német
2016	Kálmán Alajos	f	1935	2017	
2017	Xántus János	f	1825	1894	
2018	Nešetřil, Jaroslav	f	1946		cseh
2019	Kresznerics Ferenc	f	1766	1832	
2020	Zádor György	f	1799	1866	
2021	Erdős László	f	1966		ausztriai magyar
2022	Szinnyei József	f	1881	1943	
2023	Henning, Thomas	f	1956		német
2024	Harnos Zsolt	f	1941	2009	
2025	Boissier, Marie-Louis-Antoine-Gaston	f	1823	1908	francia
2026	Heller László	f	1907	1980	
2027	Kurnik Ernő	f	1913	2008	
2028	Nász István	f	1927		
2029	Binding, Karl	f	1841	1920	német
2030	Karácson Mihály	f	1796	1869	
2031	Bulla Béla	f	1906	1962	
2032	Bor Zsolt	f	1949		
2033	Fógel József	f	1884	1941	
2034	Röttgers, Kurt	f	1944		német
2035	Simon Attila	f	1966		szlovákiai magyar
2036	Talianidis Iannis	f	1957		görög-magyar
2037	Finály Henrik	f	1825	1898	
2038	Oplatka Gábor	f	1935		svájci magyar
2039	Koncz Csaba	f	1954		németországi magyar
2040	Zolnai Gyula	f	1862	1949	
2041	Stépán Gábor	f	1953		
2042	György Endre	f	1848	1927	
2043	Huszár Gábor	f	1938		amerikai-magyar
2044	Kiss Jenő	f	1943		
2045	Simonyi Zsigmond	f	1853	1919	
2046	Nagy Ignác	f	1810	1854	
2047	Kubinyi András	f	1929	2007	
2048	Harmathy Attila	f	1937		
2049	Makkai László	f	1914	1989	
2050	Halász Béla	f	1927	2019	
2051	Bock, Franz Johann Joseph	f	1823	1899	német
2052	Benkő Elek	f	1954		
2053	Fabriczy Kornél	f	1839	1910	
2054	Szabó Gábor	f	1927	1996	
2055	Bartók György, ifj.	f	1882	1970	
2056	Nagy Károly	f	1797	1868	
2057	Kuthy Lajos	f	1813	1864	
2058	Malagola, Carlo	f	1855	1910	olasz
2059	Bóka László	f	1910	1964	
2060	Kozma László	f	1902	1983	
2061	Szabó István	f	1898	1969	
2062	Watts, Thomas	f	1811	1869	angol
2063	Magyar János	f	1911	2006	
2064	Zsigmond László	f	1907	1992	
2065	Lajtha László György	f	1920	1995	nagy-britanniai magyar
2066	Bardeen, John	f	1908	1991	amerikai
2067	Kirchhoff, Gustav Robert	f	1824	1887	német
2068	Lefebvre de Laboulaye, Édouard René de	f	1811	1883	francia
2069	Pančić, Josip	f	1814	1888	szerb
2070	Rómer Flóris	f	1815	1889	
2071	Zimmermann Ágoston	f	1875	1963	
2072	Csörgő Miklós	f	1932		kanadai magyar
2073	Lamm Vanda	n	1945		
2074	Király Béla	f	1912	2009	
2075	Cantù, Cesare	f	1804	1895	olasz
2076	Heady, Earl Orel	f	1916	1987	amerikai
2077	Ivánovics György	f	1904	1980	
2078	Sirendib, Badzarin	f	1912	2001	mongol
2079	Bálint Csanád	f	1943		
2080	Deák Farkas	f	1832	1888	
2081	Csató Pál	f	1804	1841	
2082	Abrikoszov, Alekszej Alekszejevics	f	1928	2017	orosz
2083	Vágó Szilárd / Vago, Constantin	f	1921	2012	franciaországi magyar
2084	Havas András	f	1891	1954	
2085	Szily Kálmán	f	1875	1958	
2086	Podmaniczky Frigyes	f	1824	1907	
2087	Perrot, Georges	f	1832	1914	francia
2088	Wekerle Sándor	f	1848	1921	
2089	Schmidt Sándor	f	1855	1904	
2090	Beck Mihály	f	1929	2017	
2091	Goeje, Michael Jan de	f	1836	1909	holland
2092	Montu, Carlo	f	1869	1949	olasz
2093	Boyle, Peter	f	1951		brit
2094	Sebők Tamás / Sebeok, Thomas Albert	f	1920	2001	amerikai-magyar
2095	Franz, Herbert	f	1908	2002	osztrák
2096	Filarszky Nándor	f	1858	1941	
2097	Madzsar Imre	f	1878	1946	
2098	Flerkó Béla	f	1924	2003	
2099	Borbiró Virgil	f	1893	1956	
2100	Gábor László	f	1910	1981	
2101	Hammer-Purgstall, Joseph von	f	1774	1856	osztrák
2102	Schelling, Friedrich Wilhelm Joseph	f	1775	1854	német
2103	Zsirai Miklós	f	1892	1955	
2104	Méhelÿ Lajos	f	1862	1953	
2105	Rosty Pál	f	1830	1874	
2106	Kónya Albert	f	1917	1988	
2107	Ranke, Leopold von	f	1795	1886	német
2108	Bedő Zoltán	f	1951		
2109	Späth, Ernst	f	1886	1946	osztrák
2110	Bódiss Jusztin János	f	1863	1921	
2111	Tóth István	f	1946		ausztráliai magyar
2112	Apponyi Albert	f	1846	1933	
2113	Balla Tamás	f	1955		amerikai-magyar
2114	Zawadowski Alfréd	f	1936	2017	
2115	Jireček, Konstantin Josef	f	1854	1918	cseh
2116	Kolosváry Bálint	f	1875	1954	
2117	Turóczi-Trostler József	f	1888	1962	
2118	Kovács András	f	1946		romániai magyar
2119	Döbrentei Gábor	f	1785	1851	
2120	Kaszab Zoltán	f	1915	1986	
2121	Brockelmann, Carl	f	1868	1956	német
2122	Hoór-Tempis Móric	f	1867	1944	
2123	Petrusz Péter	f	1939	2017	amerikai-magyar
2124	Svoboda, Karel	f	1965		cseh-amerikai
2125	Nyiredy Szabolcs	f	1950	2006	
2126	Müller, Friedrich Max	f	1823	1900	német
2127	Scitovsky Tibor	f	1910	2002	amerikai-magyar
2128	Földes Ferenc	f	1910	1997	amerikai-magyar
2129	Murchison, Roderick Impey	f	1792	1871	skót
2130	Iván Béla	f	1952		
2131	Tamássy István	f	1924	1995	
2132	Brem, Gottfried	f	1953		osztrák
2133	Wells, Thomas Spencer	f	1818	1897	angol
2134	Kováč, Dušan	f	1942		szlovák
2135	Bezold, Karl	f	1859	1922	német
2136	Csukás Zoltán	f	1900	1957	
2137	Kiss Bálint	f	1772	1853	
2138	Kallós Lajos	f	1819	1881	
2139	Csikós Nagy Béla	f	1915	2005	
2140	Haynal Imre	f	1892	1979	
2141	Sajó András	f	1949		
2142	Déchy Mór	f	1851	1917	
2143	Klein, Felix Christian	f	1849	1925	német
2144	Schirmacher, Peter	f	1961		német
2145	Rudin, Mary Ellen	n	1924	2013	amerikai
2146	Pál Judit	n	1961		romániai magyar
2147	Szikura József	f	1932	2015	ukrajnai magyar
2148	Balogh Tamás / Balogh, Thomas	f	1905	1985	nagy-britanniai magyar
2149	Németh Gyula	f	1890	1976	
2150	Egyed László	f	1914	1970	
2151	Závodszky Péter	f	1939		
2152	Magyary Géza	f	1864	1928	
2153	Semsey Andor	f	1833	1923	
2154	Patkós András	f	1947		
2155	Vajda György	f	1927		
2156	Makovitzky József	f	1942		németországi magyar
2157	Waldmann, Thomas Alexander	f	1930		amerikai
2158	Nagy József	f	1818	1892	
2159	Szeremlei Sámuel	f	1837	1924	
2160	Németh G. Béla	f	1925	2008	
2161	Gerevich Tibor	f	1882	1954	
2162	Belting, Hans	f	1935		német
2163	Szaggyejev, Roald Zinnurovics	f	1932		orosz
2164	Kövér Katalin, E.	n	1956		
2165	Borlaug, Norman Ernest	f	1914	2009	amerikai
2166	Széchenyi Béla	f	1837	1918	
2167	Görömbei András	f	1945	2013	
2168	Schenzl Guidó	f	1823	1890	osztrák származású
2169	Vári Rezső	f	1867	1940	
2170	Osthoff, Hermann	f	1847	1909	német
2171	Lwoff, André Michel	f	1902	1994	francia
2172	Asbóth Oszkár	f	1852	1920	
2173	Széchy Károly	f	1903	1972	
2174	Kerekes Ferenc	f	1784	1850	
2175	Gévay Antal	f	1797	1845	
2176	Bárány Ágoston	f	1798	1849	
2177	Rinner, Karl	f	1912	1991	osztrák
2178	Seidner Mihály	f	1875	1968	
2179	Fülep Lajos	f	1885	1970	
2180	Barabási Albert László	f	1967		amerikai-magyar
2181	Huizinga, Johan	f	1872	1945	holland
2182	Rohringer Sándor	f	1868	1945	
2183	Moesz Gusztáv	f	1873	1946	
2184	Volf György	f	1843	1897	
2185	Szkála Károly	f	1951		horvátországi magyar
2186	Vavilov, Pjotr Petrovics	f	1918	1984	orosz
2187	Ozsváth Péter	f	1967		amerikai-magyar
2188	Chlumecký, Petr	f	1825	1863	cseh
2189	Vághy Ferenc	f	1776	1862	
2190	Fogarasi Béla	f	1891	1959	
2191	Gönczy Pál	f	1817	1892	
2192	Geoffroy Saint-Hilaire, Isidore	f	1805	1861	francia
2193	Cholnoky Jenő	f	1870	1950	
2194	Kőrösy Ferenc	f	1906	1997	izraeli magyar
2195	Schulek Frigyes	f	1841	1919	
2196	Bethlen István	f	1874	1946	
2197	Földessy Gyula	f	1874	1964	
2198	Horváth Cirill József	f	1804	1884	
2199	Lotz János / Lotz, John	f	1913	1973	amerikai-magyar
2200	Divald Kornél	f	1872	1931	
2201	Mailáth György, id.	f	1786	1861	
2202	Scheffer, Fritz	f	1899	1979	német
2203	Beke Ödön	f	1883	1964	
2204	Gosztonyi György	f	1932		németországi magyar
2205	Lakos János	f	1776	1843	
2206	Freund Tamás	f	1959		
2207	Hacker, Jörg H.	f	1952		német
2208	Ginsztler János	f	1943	2019	
2209	Ladik János	f	1929	2018	németországi magyar
2210	Teleki Ferenc	f	1785	1831	
2211	Nagy Elemér	f	1920	2000	
2212	Hildebrand, Hans	f	1842	1913	svéd
2213	Szentkirályi Zsigmond	f	1804	1870	
2214	Kunyik, Ariszt Arisztovics	f	1814	1899	orosz
2215	Czettler Jenő	f	1879	1954	
2216	Hotchkiss, Rollin Douglas	f	1911	2004	amerikai
2217	Konuma Micsidzsi	f	1931		japán
2218	Engelbrecht, Jüri	f	1939		észt
2219	Neményi Miklós	f	1947		
2220	Bernal, John Desmond	f	1901	1971	ír-angol
2221	Benczúr Gyula	f	1844	1920	
2222	Fónagy Iván	f	1920	2005	amerikai-magyar
2223	Vajda Violetta	n	1963		svédországi magyar
2224	Bailly, Antoine S.	f	1944		svájci
2225	Székely Vladimír	f	1941		
2226	Kazmierkowski, Marian	f	1943		lengyel
2227	Cziráky Antal Mózes	f	1772	1852	
2228	Fejérpataky László	f	1857	1923	
2229	Udránszky László	f	1862	1914	
2230	Tangl Károly	f	1869	1940	
2231	Katona Lajos	f	1862	1910	
2232	Janagiszava Jaszutosi	f	1870	1936	japán
2233	Karabacek, Joseph von	f	1845	1918	osztrák
2234	Giannini, Amedeo	f	1886	1960	olasz
2235	Seri István	f	1951		amerikai-magyar
2236	Boissier, Pierre Edmond	f	1810	1885	svájci
2237	Jekelfalussy József	f	1849	1901	
2238	Roizman, Bernard	f	1929		amerikai-román
2239	Tolcsvai Nagy Gábor	f	1953		
2240	Kautzleben, Heinz	f	1934		német
2241	Keresztury Dezső	f	1904	1996	
2242	Pines, David	f	1924	2018	amerikai
2243	Cságoly Ferenc	f	1948		
2244	Atkinson, William Stephen	f	1820	1876	angol-indiai
2245	Hekler Antal	f	1882	1940	
2246	Croiset, Alfred	f	1845	1923	francia
2247	Donhoffer Szilárd	f	1902	1999	
2248	Graham, Ronald L.	f	1935		amerikai
2249	Császár Ákos	f	1924	2017	
2250	Jókai Mór	f	1825	1904	
2251	Dzjalosinszkij, Igor Jehieljevics / Dzyaloshinski, Igor	f	1931		orosz-amerikai
2252	Pólya József	f	1802	1873	
2253	Buday László	f	1963		
2254	Krasztanov, Ljubomir	f	1908	1977	bolgár
2255	Balogh János	f	1913	2002	
2256	Welcker, Karl Theodor	f	1790	1869	német
2257	Farkas Gyula	f	1847	1930	
2258	Pálfy Péter Pál	f	1955		
2259	Soboul, Albert Marius	f	1914	1982	francia
2260	Egyed Ákos	f	1929		romániai magyar
2261	Petzval József	f	1807	1891	ausztriai magyar
2262	Fabinyi Rudolf	f	1849	1920	
2263	Klaniczay Tibor	f	1923	1992	
2264	Mócsy András	f	1929	1987	
2265	Bielz, Eduard Albert	f	1827	1898	
2266	Wiedemann, Ferdinand Johann	f	1805	1888	észt
2267	Szauder József	f	1917	1975	
2268	Zsarnay Lajos	f	1802	1866	
2269	Villari, Pasquale	f	1827	1917	olasz
2270	Klug Nándor	f	1845	1909	
2271	Gáthy István	f	1780	1859	
2272	Tentelis, Augusts	f	1876	1942	lett
2273	Nádasdy Ferenc	f	1785	1851	
2274	Hajdu János	f	1934		németországi magyar
2275	Kölcsey Ferenc	f	1790	1838	
2276	Leitner Gottlieb Vilmos	f	1840	1899	nagy-britanniai magyar
2277	Viski Károly	f	1883	1945	
2278	Wollheim, Claes B.	f	1943		svéd
2279	Fuchs, Lazarus Immanuel	f	1833	1902	német
2280	Kollár László Péter	f	1958		
2281	Apáthy István, id.	f	1829	1889	
2282	Lipták András	f	1935	2012	
2283	Kerényi Károly	f	1897	1973	
2284	Cowey, Alan	f	1935	2012	brit
2285	Kornis Mihály	f	1796	1835	
2286	Krocskó Gyula	f	1934	2007	ukrajnai magyar
2287	Roche, Jean	f	1901	1992	francia
2288	Flór Ferenc	f	1809	1871	
2289	Szitenko, Alekszej Grigorjevics	f	1927	2002	ukrán
2290	Kisfaludy Lajos	f	1924	1988	
2291	Surányi-Unger Tivadar	f	1898	1973	
2292	Muszbek László	f	1942		
2293	Óváry Lipót	f	1833	1919	
2294	Viszota Gyula	f	1871	1947	
2295	Eötvös Loránd	f	1848	1919	
2296	Galamb Sándor	f	1886	1972	
2297	Náray-Szabó István	f	1899	1972	
2298	Bühler, Karl	f	1879	1963	német
2299	Roscher, Wilhelm	f	1817	1894	német
2300	Palkovits Miklós	f	1933		
2301	Frähn, Christian Martin Joachim	f	1782	1851	német
2302	Szépfalusy Péter	f	1931	2014	
2303	Orsós Ferenc	f	1879	1962	
2304	Fraknói Vilmos	f	1843	1924	
2305	Menner, Vlagyimir Vasziljevics	f	1905	1989	orosz
2306	Lyell, Charles	f	1797	1875	angol
2307	Gánóczy Sándor	f	1928		németországi magyar
2308	Gyulai Pál	f	1826	1909	
2309	Montalembert, Charles de	f	1810	1870	francia
2310	Rédei Károly	f	1932	2008	ausztriai magyar
2311	Nogara, Bartolomeo	f	1868	1954	olasz
2312	Óvári Kelemen	f	1844	1925	
2313	Esterházy Pál Antal	f	1786	1866	
2314	Vályi Gyula	f	1855	1913	
2315	Kriebel, Johann	f		1853	galíciai
2316	Anohin, Pjotr Kuzmics	f	1898	1974	orosz
2317	Ormos Mária	n	1930		
2318	Árkai Péter	f	1944		
2319	Nagy Iván	f	1824	1898	
2320	Supka Géza	f	1883	1956	
2321	Szenczy Imre	f	1798	1860	
2322	Szidorenko, Alekszandr Vasziljevics	f	1917	1982	orosz
2323	Bertha Sándor	f	1796	1877	
2324	Harangi Szabolcs	f	1962		
2325	Rezsőházy Rudolf	f	1929		belgiumi magyar
2326	Domokos Gábor	f	1961		
2327	Deáki Filep Sámuel	f	1784	1855	
2328	Mangini, Angelo	f	1905	1988	olasz
2329	Reiner János	f	1865	1938	
2330	Sartori, Guido	f	1909	1981	olasz
2331	Nagy Károly	f	1926	2016	
2332	Kaán Károly	f	1867	1940	
2333	Pukánszky Béla	f	1895	1950	
2334	Korányi Sándor	f	1866	1944	
2335	Petsko, Gregory	f	1948		amerikai
2336	Walther, Herbert	f	1935	2006	német
2337	Vogt, Marthe	n	1903	2003	német
2338	Kollár László	f	1955		
2339	Illyés Gyula	f	1902	1983	
2340	Frank András	f	1949		
2341	Olszak, Wacław	f	1902	1980	lengyel
2342	Žujović, Jovan	f	1856	1936	szerb
2343	Gyóni Mátyás	f	1913	1955	
2344	Őry Huba	f	1927	2015	németországi magyar
2345	Yinglai Wang	f	1907	2001	kínai
2346	Hoványi Ferenc	f	1816	1871	
2347	Dudík, Beda František	f	1815	1890	cseh
2348	Lakatos István	f	1943		
2349	Glauber, Roy	f	1925	2018	amerikai
2350	Zolnai Béla	f	1890	1969	
2351	Groszkowski, Janusz	f	1898	1984	lengyel
2352	Vörös József	f	1951		
2353	Zichy Jenő	f	1837	1906	
2354	Baumgartner, Andreas	f	1793	1865	német
2355	Vincze Imre	f	1944		
2356	Chuquet, Arthur Maxime	f	1853	1925	francia
2357	Ledersteger, Karl	f	1900	1972	osztrák
2358	Frankl Péter	f	1953		japán magyar
2359	Czelnai Rudolf	f	1932		
2360	Varga Attila	f	1958		
2361	Solymossy Sándor	f	1864	1945	
2362	Vass József	f	1813	1873	
2363	Clausen, Hjalmar	f	1905	1983	dán
2364	Győry Sándor	f	1795	1870	
2365	Berczik Árpád	f	1842	1919	
2366	Hilbert, David	f	1862	1943	német
2367	Ancel, Marc	f	1902	1990	francia
2368	Ettingshausen, Andreas von	f	1796	1878	osztrák
2369	Réz Mihály	f	1878	1921	
2370	Levasseur, Pierre Émile	f	1828	1911	francia
2371	Gráf László	f	1942		
2372	Balogh Jenő	f	1864	1953	
2373	Biró László Péter	f	1955		
2374	Selah, Szaharón	f	1945		izraeli
2375	Huxley, Julian Sorell	f	1887	1975	angol
2376	Wagner, Hildebert	f	1929		német
2377	Steindl Imre	f	1939	1902	
2378	Szabó Károly	f	1824	1890	
2379	Moissan, Henri	f	1852	1907	francia
2380	Hofmann Károly	f	1839	1891	
2381	Andrássy Géza	f	1856	1938	
2382	Hetényi János	f	1786	1853	
2383	Horvai György	f	1949		
2384	Sudhoff, Karl	f	1853	1938	német
2385	Zeller, Eduard Gottlob	f	1814	1908	német
2386	Reclus, Élisée	f	1830	1905	francia
2387	Kerékgyártó Árpád Alajos	f	1818	1902	
2388	Teleki Sámuel	f	1845	1916	
2389	Madas Edit	n	1949		
2390	Bodánszky Miklós	f	1915	2007	amerikai-magyar
2391	Haiduc, Ionel	f	1937		román
2392	Fehér M. István	f	1950		
2393	Ramann, Emil	f	1851	1926	német
2394	Mályusz Elemér	f	1898	1989	
2395	Petraschek, Walther Emil	f	1906	1991	osztrák
2396	Lyde, Lionel William	f	1863	1947	angol
2397	Hoff, Jacobus Henricus van ’t	f	1852	1911	holland
2398	Jermy Tibor	f	1917	2014	
2399	Bodio, Luigi	f	1840	1920	olasz
2400	Kertai György	f	1912	1968	
2401	Láng István	f	1931	2016	
2402	Tompa Mihály	f	1817	1868	
2403	Hunyady György	f	1942		
2404	Szeder Fábián János	f	1784	1859	
2405	Hegedüs Sámuel	f	1781	1844	
2406	Fülöp József	f	1927	1994	
2407	Broms, Bengt Henry	f	1929		finn
2408	Ortvay Tivadar	f	1843	1916	
2409	Mátray Gábor	f	1797	1875	
2410	Benkő Dániel	f	1799	1883	
2411	Divéky Adorján	f	1880	1965	
2412	Buzsáki György	f	1949		amerikai-magyar
2413	Guizot, François	f	1787	1874	francia
2414	Bartók Mihály	f	1933		
2415	Sarkadi Balázs	f	1948		
2416	Veronese, Giuseppe	f	1854	1917	olasz
2417	Wagner-Jauregg, Julius	f	1857	1940	osztrák
2418	Kellner Béla	f	1904	1975	
2419	Lóczy Lajos	f	1849	1920	
2420	Cloetingh, Sierd	f	1950		holland
2421	Rózsay József	f	1815	1885	
2422	Antal Géza	f	1846	1889	
2423	Kardos Lajos	f	1899	1985	
2424	Krompecher Ödön	f	1870	1926	
2425	Huszthy Péter	f	1950		
2426	Nyulászi László	f	1957		
2427	Ferdinandy Gejza	f	1864	1924	
2428	Kis Pál	f	1793	1847	
2429	Ernst Jenő	f	1895	1981	
2430	Mészáros István	f	1930	2017	nagy-britanniai magyar
2431	Szathmáry György	f	1845	1898	
2432	Váli Gábor / Vali, Gabor	f	1936		amerikai-magyar
2433	Serédi Jusztinián	f	1884	1945	
2434	Szepesi Imre	f	1811	1875	
2435	Jakucs Pál	f	1928	2000	
2436	Gindely, Antonín	f	1829	1892	cseh
2437	Gáspár Zsolt	f	1944		
2438	Radlov, Vaszilij Vasziljevics	f	1837	1918	orosz
2439	Vető Miklós	f	1936		franciaországi magyar
2440	Udvardy Miklós	f	1919	1998	amerikai-magyar
2441	Márai Sándor	f	1900	1989	
2442	Gyomlay Gyula	f	1861	1942	
2443	Zsivora György	f	1804	1883	
2444	Csengery Antal	f	1822	1880	
2445	Richter Aladár	f	1868	1927	
2446	Rostovtzeff, Michael	f	1870	1952	amerikai-orosz
2447	Nejedlý, Zdeněk	f	1878	1962	cseh
2448	Kreutzwald, Friedrich Reinhold	f	1803	1882	észt
2449	Mocsáry Sándor	f	1841	1915	
2450	Vinkler János	f	1886	1968	
2451	Péch Antal	f	1822	1895	
2452	Hetényi Magdolna	n	1944		
2453	Volterra, Vito	f	1860	1940	olasz
2454	Simon István	f	1947		
2455	Wilamowitz-Moellendorff, Ulrich von	f	1848	1931	német
2456	Láng Géza	f	1916	1980	
2457	Mészáros Rezső	f	1942		
2458	Parlatore, Filippo	f	1816	1877	olasz
2459	Čermák, Jan Nepomuk	f	1828	1873	cseh
2460	Jakab Tóth Éva	n	1967		franciaországi magyar
