id	tagid	tipus	ev
4018	3131	t	1914
4019	1895	k	2013
4020	2122	r	1937
4021	733	k	1995
4022	1176	t	2007
4023	2714	l	1892
4024	2989	l	1990
4025	1529	l	1970
4026	2492	l	1948
4027	2288	l	1838
4028	623	r	1830
4029	2203	r	1958
4030	1972	k	1993
4031	2754	l	1906
4032	2423	l	1985
4033	722	t	1940
4034	717	l	1946
4035	1016	l	1949
4036	945	l	1914
4037	954	l	1979
4038	2347	t	1864
4039	3029	t	2010
4040	2477	t	1835
4041	1202	r	1936
4042	90	l	2013
4043	1960	l	1976
4044	1162	k	1859
4045	287	r	1942
4046	808	t	1902
4047	1812	t	1998
4048	2844	r	1979
4049	1195	t	1831
4050	257	l	2019
4051	792	l	1933
4052	2898	l	1985
4053	2514	t	1934
4054	2452	l	2001
4055	3113	t	1847
4056	876	l	1924
4057	848	l	1947
4058	1927	l	1954
4059	189	k	2001
4060	2184	r	1894
4061	2424	l	1915
4062	1769	l	1835
4063	2186	t	1979
4064	793	l	2016
4065	638	r	1990
4066	2361	r	1933
4067	1461	r	1838
4068	288	t	1924
4069	179	t	1899
4070	2437	l	1993
4071	2333	l	1932
4072	487	r	2001
4073	2836	l	1923
4074	1484	r	1941
4075	2572	l	1998
4076	2031	l	1946
4077	304	t	1998
4078	2804	r	1967
4079	569	r	2016
4080	2977	l	1970
4081	646	r	2007
4082	1366	r	1979
4083	2670	l	1942
4084	2142	l	1909
4085	1366	l	1973
4086	1711	t	1921
4087	2589	t	1936
4088	1748	l	1995
4089	2383	l	2007
4090	476	t	2013
4091	2519	l	2001
4092	1598	l	1993
4093	2428	t	1846
4094	1181	l	1902
4095	954	r	1985
4096	2419	t	1920
4097	1163	l	1908
4098	1160	l	2007
4099	1388	l	1872
4100	2654	l	1990
4101	1400	l	1935
4102	2414	l	1987
4103	2042	l	1879
4104	37	r	1830
4105	3229	r	1950
4106	1384	l	1954
4107	167	t	1917
4108	107	r	2007
4109	64	l	1895
4110	1391	k	1993
4111	2756	t	1930
4112	803	t	1922
4113	2643	t	1876
4114	2193	l	1920
4115	2155	r	1982
4116	2597	l	1990
4117	2870	l	1899
4118	1840	r	1961
4119	315	r	1839
4120	2827	l	2004
4121	1766	l	2019
4122	1736	r	1950
4123	843	r	1970
4124	2270	l	1890
4125	1505	t	2013
4126	1028	t	1926
4127	2200	l	1911
4128	2138	l	1863
4129	2410	l	1859
4130	3042	l	1970
4131	3181	r	2013
4132	284	t	1976
4133	169	l	1888
4134	3077	r	2010
4135	874	t	1976
4136	508	l	1970
4137	617	l	1979
4138	2386	t	1881
4139	2745	r	1995
4140	2229	l	1909
4141	2144	t	2019
4142	1566	t	1973
4143	886	l	1896
4144	1602	t	1880
4145	1610	l	1925
4146	3209	r	1905
4147	3165	r	2004
4148	1676	r	2001
4149	1876	l	1964
4150	1342	l	1970
4151	2388	t	1894
4152	141	l	1985
4153	1896	t	1914
4154	2812	t	1976
4155	3012	l	1985
4156	1625	l	1932
4157	1324	k	2007
4158	2282	r	1998
4159	898	l	1912
4160	2633	l	1958
4161	2886	t	1833
4162	73	l	1934
4163	797	t	1858
4164	2738	t	1945
4165	1729	r	2019
4166	531	l	1877
4167	1706	l	2013
4168	1438	t	1925
4169	847	l	1845
4170	1318	r	1938
4171	1422	k	1858
4172	2800	t	1921
4173	309	r	1837
4174	1819	l	1940
4175	959	t	1847
4176	2586	t	2013
4177	2894	t	2010
4178	1015	r	1993
4179	2680	l	1916
4180	1665	t	1983
4181	233	l	2013
4182	101	t	1993
4183	1383	t	1858
4184	1705	r	1953
4185	1690	t	1973
4186	512	t	1913
4187	2467	l	2019
4188	2573	l	1912
4189	2174	l	1837
4190	87	k	1885
4191	1033	r	1998
4192	204	l	1951
4193	365	l	1990
4194	2832	r	2001
4195	924	l	1923
4196	3112	l	1846
4197	2575	k	1993
4198	335	k	2004
4199	1180	l	1870
4200	49	t	2004
4201	2628	r	1873
4202	2672	l	1935
4203	355	l	1935
4204	2149	r	1935
4205	415	t	1831
4206	1639	l	1951
4207	238	r	1924
4208	2292	l	1990
4209	804	l	1962
4210	1052	l	1858
4211	2250	t	1883
4212	2845	r	1945
4213	2762	t	1876
4214	456	r	1836
4215	1609	l	1946
4216	1185	l	1982
4217	121	r	2001
4218	1906	k	2013
4219	10	l	1847
4220	556	r	1979
4221	2659	k	1995
4222	683	t	1995
4223	2281	r	1884
4224	1800	r	1976
4225	689	r	2004
4226	603	r	2016
4227	1970	r	2016
4228	1583	t	1878
4229	1594	r	1902
4230	1430	l	1936
4231	555	k	2001
4232	1071	r	1998
4233	3123	l	1896
4234	3103	r	2004
4235	3201	l	1990
4236	919	l	1998
4237	518	k	2001
4238	431	k	1998
4239	2072	k	1995
4240	2211	r	1995
4241	2348	l	2004
4242	2419	l	1888
4243	2004	t	1931
4244	2847	l	2013
4245	2725	t	1902
4246	1471	r	1838
4247	1844	l	1888
4248	1439	t	1935
4249	1365	l	1863
4250	46	r	2013
4251	55	l	1985
4252	3166	l	1896
4253	303	t	1998
4254	2617	l	1945
4255	1325	l	1910
4256	1595	t	1831
4257	887	t	1973
4258	645	t	1914
4259	1995	l	1990
4260	210	r	1920
4261	207	r	2019
4262	125	l	2016
4263	2910	l	1982
4264	2253	r	2019
4265	1100	r	1976
4266	69	t	1887
4267	2831	t	1940
4268	3101	l	1948
4269	2926	l	1880
4270	2669	l	1995
4271	2503	l	1932
4272	338	r	1947
4273	1696	r	1891
4274	2513	r	2001
4275	2188	t	1858
4276	2791	l	1882
4277	969	l	1918
4278	1141	r	1990
4279	2889	t	2004
4280	1427	l	1995
4281	344	l	1902
4282	1872	l	1948
4283	1650	l	1987
4284	2016	l	1995
4285	863	t	1993
4286	2953	t	1858
4287	2106	r	1976
4288	1339	r	1889
4289	18	r	1954
4290	2390	k	1990
4291	938	t	1865
4292	1935	l	1845
4293	867	t	1884
4294	1641	t	2010
4295	443	k	2007
4296	577	l	1921
4297	2379	t	1902
4298	2784	r	2001
4299	1143	r	2013
4300	636	l	1832
4301	628	l	1995
4302	927	r	1950
4303	3055	t	1888
4304	1068	t	1873
4305	2405	l	1832
4306	942	k	1995
4307	964	l	1913
4308	1577	k	2019
4309	1914	l	1990
4310	2733	l	1998
4311	1969	l	1933
